job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
qwen-qwen3-30b-a3b-thinking-2507-shard-000-r2_27,succeeded,reasoning-30b-tp2-57aea74ade,Qwen/Qwen3-30B-A3B-Thinking-2507,shard_000,2,2,2.27,2.27157204885,292094.985023,228138.462366,0.0811374958397,1078.36024009,236.115560568,842.244679522,240.539,1137.703,1174.419,1186.9022,1199.01936,1206.943,762.650091444,595.661781634,762.650091444,595.661781634,0.173923519391,0.135841580026,383,383,125643,1553802,1679445,270.869579723,1,
openai-gpt-oss-120b-shard-000-r2_27,succeeded,reasoning-gpt-oss-120b-tp4-6ab2c0ce86,openai/gpt-oss-120b,shard_000,4,4,2.27,2.27859240121,412782.788003,305412.244478,0.114661885556,1836.92460251,477.809634313,1359.1149682,493.88,1931.68,1993.02,2008.7412,2028.98392,2035.826,1021.73957426,755.970902172,1021.73957426,755.970902172,0.286197394304,0.211753472041,404,404,77815,1364486,1442301,224.714061447,1,
openai-gpt-oss-120b-shard-000-r3_08,succeeded,reasoning-gpt-oss-120b-tp4-31d210200a,openai/gpt-oss-120b,shard_000,4,4,3.08,3.08277026233,473416.101775,359588.596642,0.131504472715,2018.70790798,485.375304929,1533.33260305,501.18,2167.05,2225.1708,2235.478,2248.5144,2253.063,836.424208083,635.315541771,836.424208083,635.315541771,0.241117978149,0.183143908842,566,566,184857,1778564,1963421,234.51441385,1,
meta-llama-llama-3-1-70b-instruct-mmlu-pro-reasoning-shard-000-mst-r11_5,succeeded,reasoning-70b-tp4-8381aadefe,meta-llama/Llama-3.1-70B-Instruct,mmlu-pro-reasoning-shard-000_mst_anomaly_rerun,4,4,11.5,11.5,687452.250241,553715.556705,0.1909589584,2492.6054762,484.910500418,2007.69497579,516.062,2685.782,2756.217,2759.7443,2764.84974,2771.599,335.834025521,270.501004741,335.834025521,270.501004741,0.464290225009,0.373967385115,2047,2047,415987,1064665,1480652,275.796654065,1,
meta-llama-llama-3-1-70b-instruct-supergpqa-hard-reasoning-shard-0-r3_87,succeeded,reasoning-70b-tp4-bfa41723fe,meta-llama/Llama-3.1-70B-Instruct,supergpqa-hard-reasoning-shard-000_mst_anomaly_rerun,4,4,3.87,3.875,662163.358831,525328.764965,0.183934266342,2367.19262362,489.175121119,1878.0175025,527.335,2398.538,2712.168,2748.484,2768.3708,2775.713,988.303520644,784.07278353,988.303520644,784.07278353,0.707213570485,0.561069449999,670,670,215179,721120,936299,279.725169901,1,
google-gemma-4-31b-it-shard-000-r0_56,succeeded,reasoning-30b-tp2-ad8508089c,google/gemma-4-31B-it,shard_000,2,2,0.56,0.560720498697,310176.567657,237026.091595,0.0861601576825,1063.98434456,250.924697231,813.05964733,265.405,1074.438,1177.007,1199.524,1217.561,1220.028,3101.76567657,2370.26091595,3101.76567657,2370.26091595,0.737521738935,0.563588334755,100,100,18124,402442,420566,291.523619913,1,
google-gemma-4-31b-it-shard-000-r0_55,succeeded,reasoning-30b-tp2-63748bfc9b,google/gemma-4-31B-it,shard_000,2,2,0.55,0.551360680624,285415.94348,216631.930635,0.0792822065222,972.016157242,234.251706579,737.764450663,237.635,993.416,1075.999,1082.363,1087.016,1094.972,2912.40758653,2210.52990444,2912.40758653,2210.52990444,0.701690067682,0.532585784158,98,98,29210,377545,406755,293.632920969,1,
meta-llama-codellama-34b-instruct-hf-shard-000-r4_59,succeeded,reasoning-30b-tp4-3eef8350d8,meta-llama/CodeLlama-34b-Instruct-hf,shard_000,4,4,4.59,4.59829823161,641896.792923,518474.376425,0.178304664701,2524.31866782,485.370099098,2038.94856872,520.018,2720.378,2766.279,2769.259,2773.0553,2779.613,780.896341755,630.747416576,780.896341755,630.747416576,0.328806880915,0.265584661626,822,822,196931,1755269,1952200,254.28516657,1,
meta-llama-codellama-34b-instruct-hf-shard-000-r2_75,succeeded,reasoning-30b-tp4-61be63216a,meta-llama/CodeLlama-34b-Instruct-hf,shard_000,4,4,2.75,2.75572398333,621766.574971,498429.584071,0.172712937492,2478.04484287,491.558418442,1986.48642442,547.76,2586.599,2761.321,2767.3155,2773.947,2782.594,1198.00881497,960.365287228,1198.00881497,960.365287228,0.390507099265,0.313043992551,519,519,170479,1421724,1592203,250.910138596,1,
google-gemma-4-31b-it-shard-000-r1_34,succeeded,reasoning-30b-tp4-7a4a2f12e4,google/gemma-4-31B-it,shard_000,4,4,1.34,1.34726820786,590911.540257,450650.742198,0.164142094516,2046.39060429,485.738320787,1560.65228351,511.3,2104.553,2319.215,2340.92,2371.436,2410.089,2317.30015787,1767.25781254,2317.30015787,1767.25781254,0.549088562619,0.418755010555,255,255,50580,1025588,1076168,288.757942407,1,
google-gemma-4-31b-it-shard-000-r1_28,succeeded,reasoning-30b-tp4-b4f31e0f3b,google/gemma-4-31B-it,shard_000,4,4,1.28,1.28688932704,578623.862537,440702.764637,0.160728850705,2057.51922399,490.431398871,1567.08782512,514.854,2100.455,2320.391,2341.153,2358.4612,2387.792,2287.05084007,1741.90816062,2287.05084007,1741.90816062,0.55619101051,0.423617019394,253,253,83233,957100,1040333,281.224037078,1,
qwen-qwen3-32b-mmlu-pro-reasoning-shard-000-mst-r2_13,succeeded,reasoning-30b-tp4-ec98c73836,Qwen/Qwen3-32B,mmlu-pro-reasoning-shard-000_mst_anomaly_rerun,4,4,2.13,2.13009584427,536010.911755,404133.102756,0.148891919932,1960.30370141,482.304653591,1477.99904782,516.892,1998.957,2042.409,2066.1125,2097.1528,2125.143,1279.26231922,964.518145002,1279.26231922,964.518145002,0.299959042856,0.226158415866,419,419,84848,1702099,1786947,273.43258668,1,
qwen-qwen3-32b-supergpqa-hard-reasoning-shard-0-r2,succeeded,reasoning-30b-tp4-dbd9cdb3a6,Qwen/Qwen3-32B,supergpqa-hard-reasoning-shard-000_mst_anomaly_rerun,4,4,2,2.00109120254,500025.090723,373378.20332,0.138895858534,1908.51888741,483.391695986,1425.12719142,509.661,1956.252,2037.827,2051.5467,2091.53,2101.159,1557.710563,1163.17197296,1557.710563,1163.17197296,0.362251446921,0.270500014721,321,321,103933,1276393,1380326,261.996406754,1,
